date,open,close,high,low
2019/6/19,185.5,184,184,185.5
2019/6/20,186.45,186.37,186.3,186.85
2019/6/21,187.3,184.49,184.48,187.3
2019/6/24,185.8,186.04,185.8,186.18
2019/6/25,186.62,186.17,186,186.84
2019/6/26,185.08,184.94,184.8,185.29
2019/6/27,186.57,186.14,186,186.57
2019/6/28,187.3,186.64,186.6,187.3
2019/7/1,189.62,189.85,189.62,190.2
2019/7/2,190.42,191.2,190.4,191.2
2019/7/3,190.65,190.29,190.2,190.65
2019/7/4,192.1,191.67,191.5,192.1
2019/7/5,191,191.24,191,191.3
2019/7/8,185.6,186.35,185.3,186.6
2019/7/9,185.5,185.93,185.5,186.05
2019/7/10,185.66,185.41,185.3,185.8
2019/7/11,189,188.89,188.72,189.28
2019/7/12,188.75,188.62,188.42,188.75
2019/7/15,190,191.44,190,191.84
2019/7/16,192.65,193.13,192.65,193.16
2019/7/17,192.65,192.42,192.2,192.65
2019/7/18,191.5,194.55,191.5,194.62
2019/7/19,195.65,195.77,195.5,195.9
2019/7/22,196.52,194.28,193.85,196.52
2019/7/23,193.5,193.74,193.4,193.86
2019/7/24,196.1,196.9,196.1,197
2019/7/25,200.75,200.81,200.75,200.9
2019/7/26,198.6,198.35,197.75,198.6
2019/7/29,198,198.4,198,198.72
2019/7/30,200.82,201.35,200.82,201.4
2019/7/31,200.1,200.4,200.1,200.7
2019/8/1,200.4,196.33,195.72,200.4
